City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Tiarei,PF,77.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
239,Acari,PE,75.65,broken clouds,-15.43,-74.62,Hospedaje Ximens
240,Baglung,NP,66.96,overcast clouds,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
248,Sterling,US,66.0,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
251,Mount Isa,AU,66.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
256,Saldanha,ZA,64.4,clear sky,-33.01,17.94,Blue Bay Lodge
258,Baijiantan,CN,78.49,scattered clouds,45.63,85.18,
260,Puerto Penasco,MX,75.2,clear sky,31.32,-113.53,Playa Bonita Resort
262,Poum,NC,71.89,few clouds,-20.23,164.02,Gîte kajeon
263,San Cristobal,VE,77.0,fog,7.77,-72.22,Pirineos
266,Pampas,PE,64.0,scattered clouds,-12.4,-74.9,Pamuri Andes Lodge
268,Waingapu,ID,77.29,scattered clouds,-9.66,120.26,Pondok Wisata Elim
273,Pangkalanbuun,ID,77.0,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
274,Masuguru,TZ,77.86,broken clouds,-11.37,38.42,
276,Saint George,US,69.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
282,Huilong,CN,64.99,scattered clouds,31.81,121.66,Hilton Garden Inn Qidong
291,Kandrian,PG,78.48,broken clouds,-6.22,149.55,
296,Longyan,CN,65.01,overcast clouds,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
297,Asau,RO,63.0,scattered clouds,46.43,26.4,Casa Mika Ciobanus
298,Challans,FR,62.6,overcast clouds,46.84,-1.87,Citotel Le Challans
303,Penha,BR,79.0,broken clouds,-26.77,-48.65,Hotel Conexão Ltda
311,Toppenish,US,60.01,overcast clouds,46.38,-120.31,Quality Inn & Suites Toppenish - Yakima Valley
315,Mporokoso,ZM,64.62,broken clouds,-9.37,30.12,Fairview Home Lodge
318,Boyuibe,BO,69.55,broken clouds,-20.42,-63.28,Residencial Eluzai
320,Laguna,US,62.01,overcast clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
321,Kibaya,TZ,62.58,scattered clouds,-5.3,36.57,Lusaka Hotel
322,Urupes,BR,77.0,overcast clouds,-21.2,-49.29,Romera
324,Nigde,TR,60.04,clear sky,37.83,34.75,
326,Mbandaka,CD,78.89,few clouds,0.05,18.26,Guest House Epervier
327,Port Elizabeth,ZA,64.4,clear sky,-33.92,25.57,39 On Nile Guest House
328,Cortez,US,66.2,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
338,Tiznit,MA,65.44,broken clouds,29.58,-9.5,
343,Isangel,VU,64.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
345,Damghan,IR,64.74,clear sky,36.17,54.35,خوابگاه اساتيد دانشگاه دامغان
351,Samarai,PG,78.42,few clouds,-10.62,150.67,Nuli Sapi
355,Rock Sound,BS,76.19,broken clouds,24.9,-76.2,Rock Sound Club
359,Kwinana,AU,61.0,overcast clouds,-32.25,115.77,Rockingham Apartments
