City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mahebourg,MU,2020-05-13 19:38:09,-20.41,57.7,73.4,69,40,6.93
70,Hazorasp,UZ,2020-05-13 19:42:57,41.32,61.07,59.0,77,51,4.7
71,Suntar,RU,2020-05-13 19:42:57,62.14,117.63,28.38,98,18,3.89
72,Arraial Do Cabo,BR,2020-05-13 19:41:22,-22.97,-42.03,82.4,58,75,10.29
73,Karatau,KZ,2020-05-13 19:42:58,43.17,70.47,62.4,78,100,11.01
74,Garoua Boulai,CM,2020-05-13 19:42:58,5.88,14.55,67.46,94,100,0.54
75,Lavrentiya,RU,2020-05-13 19:42:58,65.58,-171.0,33.78,93,96,4.25
76,Warren,US,2020-05-13 19:42:59,39.43,-84.17,60.8,41,90,14.99
77,Salalah,OM,2020-05-13 19:42:59,17.02,54.09,84.2,83,0,3.36
78,Horadiz,AZ,2020-05-13 19:43:00,39.45,47.34,64.4,82,40,6.93
79,Sao Gabriel Da Cachoeira,BR,2020-05-13 19:43:00,-0.13,-67.09,77.11,89,99,1.36
80,Cayenne,GF,2020-05-13 19:43:00,4.93,-52.33,82.4,74,75,12.75
81,Mikkeli,FI,2020-05-13 19:43:01,61.69,27.27,39.99,76,100,4.7
82,Bandundu,CD,2020-05-13 19:43:01,-3.32,17.37,74.1,89,82,0.54
83,Xinzhou,CN,2020-05-13 19:43:01,38.41,112.73,60.04,46,20,7.18
84,Kruisfontein,ZA,2020-05-13 19:43:01,-34.0,24.73,56.84,89,0,11.12
85,Lensk,RU,2020-05-13 19:43:01,60.73,114.93,29.61,97,13,2.44
86,Yulara,AU,2020-05-13 19:43:01,-25.24,130.99,48.2,36,0,10.29
87,Cabo San Lucas,MX,2020-05-13 19:39:45,22.89,-109.91,89.6,20,5,8.05
88,Hobart,AU,2020-05-13 19:43:02,-42.88,147.33,48.99,66,40,8.05
89,Laguna,US,2020-05-13 19:38:21,38.42,-121.42,68.0,55,100,1.99
90,Luorong,CN,2020-05-13 19:43:02,24.41,109.61,76.1,87,77,7.83
91,Waikuku,NZ,2020-05-13 19:43:02,-43.3,172.68,46.99,100,90,3.36
92,Panaba,MX,2020-05-13 19:43:02,21.28,-88.27,91.49,51,8,9.66
93,Souillac,MU,2020-05-13 19:43:02,-20.52,57.52,73.4,69,40,6.93
94,Kodiak,US,2020-05-13 19:43:02,57.79,-152.41,53.6,50,1,4.7
95,Georgetown,MY,2020-05-13 19:43:02,5.41,100.34,84.2,83,20,5.82
96,Sao Jose Da Coroa Grande,BR,2020-05-13 19:38:12,-8.9,-35.15,79.86,83,30,9.01
97,Lompoc,US,2020-05-13 19:43:03,34.64,-120.46,69.8,40,1,20.8
98,Yatou,CN,2020-05-13 19:43:03,37.15,122.38,58.12,65,100,10.65
99,Lesozavodsk,RU,2020-05-13 19:43:03,45.48,133.42,41.16,74,0,7.72
100,Kaitangata,NZ,2020-05-13 19:43:03,-46.28,169.85,46.99,92,100,3.0
101,George Town,MY,2020-05-13 19:41:11,5.41,100.34,84.2,83,20,5.82
102,Port Blair,IN,2020-05-13 19:43:03,11.67,92.75,81.46,84,100,17.31
103,Khatanga,RU,2020-05-13 19:43:03,71.97,102.5,23.23,98,85,7.4
104,Aitape,PG,2020-05-13 19:43:03,-3.14,142.35,77.9,85,59,4.54
105,Ugoofaaru,MV,2020-05-13 19:43:03,5.67,73.0,84.61,76,98,8.57
106,Severo-Kurilsk,RU,2020-05-13 19:38:26,50.68,156.12,36.57,84,100,16.62
107,Fayaoue,NC,2020-05-13 19:43:04,-20.65,166.53,72.86,54,1,2.46
108,Saldanha,ZA,2020-05-13 19:42:48,-33.01,17.94,57.2,82,0,4.7
109,Norman Wells,CA,2020-05-13 19:43:04,65.28,-126.83,30.2,46,40,16.11
110,Chokurdakh,RU,2020-05-13 19:38:25,70.63,147.92,33.67,100,100,8.12
111,Matay,EG,2020-05-13 19:43:04,28.42,30.78,83.93,15,99,15.48
112,Vostok,RU,2020-05-13 19:43:04,46.49,135.88,34.3,90,0,5.17
113,Nortelandia,BR,2020-05-13 19:43:04,-14.45,-56.8,87.73,57,77,1.57
114,Vallenar,CL,2020-05-13 19:43:04,-28.57,-70.76,76.73,25,4,5.95
115,Katsuura,JP,2020-05-13 19:43:04,35.13,140.3,64.4,39,0,6.93
116,Ambatofinandrahana,MG,2020-05-13 19:43:04,-20.55,46.8,55.11,96,9,0.69
117,Tuktoyaktuk,CA,2020-05-13 19:43:05,69.45,-133.04,17.6,78,90,9.17
118,Alenquer,BR,2020-05-13 19:43:04,-1.94,-54.74,86.0,74,20,5.82
119,East London,ZA,2020-05-13 19:38:24,-33.02,27.91,64.67,64,3,19.33
120,Los Llanos De Aridane,ES,2020-05-13 19:43:05,28.66,-17.92,69.8,56,20,8.05
121,The Valley,AI,2020-05-13 19:43:05,18.22,-63.06,86.0,58,20,14.99
122,New Norfolk,AU,2020-05-13 19:43:05,-42.78,147.06,48.99,79,82,1.99
123,Kapaa,US,2020-05-13 19:43:05,22.08,-159.32,77.0,83,75,9.17
124,Makarska,HR,2020-05-13 19:43:06,43.3,17.02,71.6,43,100,12.75
125,Aklavik,CA,2020-05-13 19:43:06,68.22,-135.01,21.2,79,90,11.41
126,Dikson,RU,2020-05-13 19:43:06,73.51,80.55,18.82,88,40,8.5
127,Russell,US,2020-05-13 19:43:06,32.35,-85.2,82.99,34,1,6.93
128,Teterow,DE,2020-05-13 19:43:06,53.78,12.57,46.0,87,75,4.7
129,Hasaki,JP,2020-05-13 19:43:06,35.73,140.83,54.0,76,40,2.24
130,Arman,RU,2020-05-13 19:43:07,59.7,150.17,36.73,83,11,3.47
131,Provideniya,RU,2020-05-13 19:43:07,64.38,-173.3,33.93,92,100,13.24
132,Monastyrshchina,RU,2020-05-13 19:43:07,54.35,31.84,41.68,87,99,7.78
133,Cape Town,ZA,2020-05-13 19:42:47,-33.93,18.42,57.2,82,20,3.36
134,Bredasdorp,ZA,2020-05-13 19:43:07,-34.53,20.04,59.0,77,1,4.7
135,Nome,US,2020-05-13 19:40:33,64.5,-165.41,48.0,61,1,3.36
136,Ilulissat,GL,2020-05-13 19:43:07,69.22,-51.1,41.0,75,75,4.7
137,Opuwo,NA,2020-05-13 19:43:07,-18.06,13.84,68.97,34,0,7.31
138,Puerto Ayora,EC,2020-05-13 19:43:07,-0.74,-90.35,84.2,70,20,19.46
139,Kjollefjord,NO,2020-05-13 19:43:07,70.95,27.35,37.4,59,99,3.36
140,Longyearbyen,SJ,2020-05-13 19:43:08,78.22,15.64,32.0,93,40,26.4
141,Saint-Pierre,RE,2020-05-13 19:43:08,-21.34,55.48,69.8,73,40,3.36
142,Bethel,US,2020-05-13 19:43:08,41.37,-73.41,61.0,22,1,13.87
143,Lamu,KE,2020-05-13 19:43:08,-2.27,40.9,79.32,83,50,10.51
144,Warmbad,NA,2020-05-13 19:43:08,-28.45,18.73,61.14,29,0,3.4
145,Lagoa,PT,2020-05-13 19:43:08,39.05,-27.98,57.52,69,93,20.85
146,Athabasca,CA,2020-05-13 19:43:08,54.72,-113.29,57.88,36,0,7.96
147,Salamanca,ES,2020-05-13 19:40:53,40.83,-6.0,59.0,81,100,5.82
148,Ahuimanu,US,2020-05-13 19:43:08,21.44,-157.84,80.6,65,75,9.17
149,Carnarvon,AU,2020-05-13 19:43:08,-24.87,113.63,70.59,34,0,10.51
150,Upernavik,GL,2020-05-13 19:43:09,72.79,-56.15,35.82,85,100,2.86
151,Maceio,BR,2020-05-13 19:43:09,-9.67,-35.74,82.4,78,40,11.41
152,Klaksvik,FO,2020-05-13 19:43:09,62.23,-6.59,41.0,75,99,9.17
153,Sassandra,CI,2020-05-13 19:43:09,4.95,-6.08,80.92,82,100,5.44
154,Altamont,US,2020-05-13 19:43:09,42.21,-121.74,46.99,75,90,8.05
155,Ngorongoro,TZ,2020-05-13 19:43:09,-3.24,35.49,55.02,100,98,3.74
156,Zapolyarnyy,RU,2020-05-13 19:43:09,69.42,30.81,37.4,59,100,8.05
157,Solomenskoye,RU,2020-05-13 19:43:09,44.22,44.35,55.98,85,14,9.53
158,Teguise,ES,2020-05-13 19:43:09,29.06,-13.56,69.8,56,20,12.75
159,Gizo,SB,2020-05-13 19:43:10,-8.1,156.84,82.87,78,99,13.35
160,Brindisi,IT,2020-05-13 19:43:10,40.58,17.67,68.0,77,40,5.82
161,Westport,US,2020-05-13 19:42:00,41.14,-73.36,61.0,18,1,12.75
162,Port-Gentil,GA,2020-05-13 19:43:10,-0.72,8.78,78.8,100,20,2.24
163,Palmeirais,BR,2020-05-13 19:43:10,-5.98,-43.06,82.11,84,33,4.59
164,Barillas,GT,2020-05-13 19:43:10,15.8,-91.32,77.31,66,76,2.59
165,Timizart,DZ,2020-05-13 19:43:10,36.8,4.27,57.67,64,100,4.56
166,Bahile,PH,2020-05-13 19:43:10,10.0,118.79,79.83,84,44,2.19
167,Sabzevar,IR,2020-05-13 19:40:22,36.21,57.68,62.51,33,4,5.08
168,Vila,PT,2020-05-13 19:39:26,42.03,-8.16,57.0,82,95,2.8
169,Sao Joao Da Barra,BR,2020-05-13 19:43:11,-21.64,-41.05,80.6,61,4,16.11
170,Lipari,IT,2020-05-13 19:43:11,38.47,14.95,70.0,64,20,13.87
171,Mirabad,AF,2020-05-13 19:43:11,30.44,61.84,77.7,24,51,19.48
172,Fort Nelson,CA,2020-05-13 19:43:11,58.81,-122.7,39.2,94,90,12.75
173,Amahai,ID,2020-05-13 19:43:11,-3.33,128.92,78.93,83,84,3.58
174,Cottonwood Heights,US,2020-05-13 19:41:33,40.62,-111.81,61.0,62,40,8.05
175,Mount Isa,AU,2020-05-13 19:43:12,-20.73,139.5,62.6,25,0,14.99
176,Ribeira Grande,PT,2020-05-13 19:43:12,38.52,-28.7,60.8,63,40,16.11
177,Avarua,CK,2020-05-13 19:43:12,-21.21,-159.78,78.8,94,4,2.24
178,San Borja,BO,2020-05-13 19:43:12,-14.82,-66.85,86.59,70,53,4.97
179,Nemuro,JP,2020-05-13 19:43:12,43.32,145.57,43.92,84,100,10.69
180,Zheleznodorozhnyy,RU,2020-05-13 19:43:12,55.75,38.0,52.0,46,50,4.47
181,Coahuayana,MX,2020-05-13 19:39:22,18.73,-103.68,87.8,31,5,11.41
182,Bathsheba,BB,2020-05-13 19:43:12,13.22,-59.52,86.0,58,40,18.34
183,Honggang,CN,2020-05-13 19:43:12,46.47,124.87,56.82,49,84,13.38
184,Constitucion,CL,2020-05-13 19:39:35,-35.33,-72.42,62.6,49,0,15.1
185,Opunake,NZ,2020-05-13 19:38:14,-39.46,173.86,48.99,88,100,1.99
186,Hilo,US,2020-05-13 19:43:13,19.73,-155.09,82.4,54,1,3.36
187,Saint-Philippe,RE,2020-05-13 19:43:13,-21.36,55.77,69.8,73,62,3.36
188,Umm Kaddadah,SD,2020-05-13 19:43:13,13.6,26.69,88.27,12,0,14.32
189,Awbari,LY,2020-05-13 19:39:34,26.59,12.78,85.17,11,0,10.13
190,Mishkino,RU,2020-05-13 19:43:13,55.34,63.92,59.31,56,69,3.91
191,Qui Nhon,VN,2020-05-13 19:43:13,13.77,109.23,79.32,86,100,3.2
192,Pevek,RU,2020-05-13 19:43:13,69.7,170.31,30.76,97,91,0.29
193,Veraval,IN,2020-05-13 19:43:13,20.9,70.37,81.55,82,0,10.29
194,Victoria,HK,2020-05-13 19:42:54,22.29,114.16,78.01,83,90,11.01
195,Vestmannaeyjar,IS,2020-05-13 19:39:10,63.44,-20.27,44.6,81,40,18.34
196,Quixeramobim,BR,2020-05-13 19:42:58,-5.2,-39.29,81.1,78,0,3.15
197,Bonthe,SL,2020-05-13 19:43:14,7.53,-12.51,82.17,81,100,6.04
198,Oytal,KZ,2020-05-13 19:43:14,42.91,73.27,61.39,79,93,5.99
199,Saint George,US,2020-05-13 19:43:14,37.1,-113.58,78.01,28,1,6.93
200,Coquimbo,CL,2020-05-13 19:43:14,-29.95,-71.34,62.6,67,0,11.41
201,Svetlaya,RU,2020-05-13 19:43:14,46.54,138.33,43.48,71,11,4.52
202,Ilheus,BR,2020-05-13 19:43:14,-14.79,-39.05,76.51,77,12,5.53
203,Tome,CL,2020-05-13 19:43:15,-36.62,-72.95,60.8,63,13,10.29
204,Suez,EG,2020-05-13 19:43:15,29.97,32.53,76.8,30,100,14.97
205,Omsukchan,RU,2020-05-13 19:43:15,62.53,155.8,32.99,92,0,1.83
206,Akdepe,TM,2020-05-13 19:43:15,42.06,59.38,60.8,77,78,4.7
207,Luderitz,NA,2020-05-13 19:42:55,-26.65,15.16,60.8,72,19,12.75
208,Dunedin,NZ,2020-05-13 19:40:15,-45.87,170.5,48.99,92,100,3.0
209,Guerrero Negro,MX,2020-05-13 19:43:15,27.98,-114.06,71.82,54,0,18.84
210,Atuona,PF,2020-05-13 19:43:15,-9.8,-139.03,81.81,73,0,13.85
211,Sao Felix Do Xingu,BR,2020-05-13 19:38:54,-6.64,-51.99,85.44,67,24,3.29
212,Vanimo,PG,2020-05-13 19:43:16,-2.67,141.3,78.76,85,55,4.12
213,Bengkulu,ID,2020-05-13 19:43:16,-3.8,102.27,78.26,86,100,2.73
