,Country,Income_Per_Capita,Population_Total,Population_Median_Age,Percent_Population_over_60,Percent_Goverment_Expenditure_on_Health,Female_Life_Expectancy,Male_Life_Expectancy,Liters_of_Alcohol,Percent_Population_Access_To_Clean_Water,Cell_phones_per_100_people,Cell_phones_total,Measles_immunization
182,Tonga,5470.0,100.0,21.0,9.0,11.1,62.0,62.0,0.75,100.0,29.8,3354.0,99.0
183,Trinidad and Tobago,16800.0,1328.0,29.0,10.0,6.9,64.0,60.0,4.17,94.0,61.3,647870.0,93.0
184,Tunisia,6490.0,10215.0,27.0,9.0,6.5,64.0,61.0,1.23,94.0,56.3,3562970.0,96.0
185,Turkey,8410.0,73922.0,27.0,8.0,16.5,63.0,61.0,1.37,97.0,59.6,34700000.0,91.0
189,Ukraine,6110.0,46557.0,39.0,21.0,8.8,64.0,55.0,6.09,97.0,64.5,13700000.0,96.0
190,United Arab Emirates,31190.0,4248.0,30.0,2.0,8.7,64.0,64.0,0.02,100.0,100.8,3683117.0,92.0
191,United Kingdom,33650.0,60512.0,39.0,22.0,16.5,72.0,69.0,11.75,100.0,109.7,61100000.0,82.0
192,United States of America,44070.0,302841.0,36.0,17.0,19.1,71.0,67.0,8.61,99.0,71.5,181000000.0,93.0
193,Uruguay,9940.0,3331.0,33.0,18.0,9.2,69.0,63.0,7.74,100.0,35.5,600000.0,95.0
194,Uzbekistan,2190.0,26981.0,23.0,6.0,8.0,61.0,58.0,1.51,88.0,2.7,544100.0,99.0
195,Vanuatu,3480.0,221.0,20.0,5.0,10.9,59.0,58.0,0.75,59.0,5.8,10504.0,70.0
196,Venezuela,10970.0,27191.0,25.0,8.0,9.3,67.0,62.0,6.67,89.0,46.7,8420980.0,76.0
197,Vietnam,2310.0,86206.0,25.0,8.0,6.8,63.0,60.0,0.85,92.0,11.4,4960000.0,95.0
199,Yemen,2090.0,21732.0,17.0,4.0,5.6,51.0,48.0,0.04,66.0,9.5,1072000.0,76.0
200,Zambia,1140.0,11696.0,17.0,5.0,10.8,35.0,35.0,2.4,58.0,8.1,300000.0,84.0
